setzt,398
verehrte,313
widerspruch,486
gefahr,402
erneuerbaren,235
parlamentarischen,402
lösen,446
gleiche,349
gestalten,391
konzept,516
realität,398
gezeigt,349
offen,457
erfolgreich,481
personen,294
november,269
schulen,227
zusätzliche,540
wünschen,330
regionen,355
markt,489
vereinbarung,507
gleichen,390
stück,413
mai,241
instrument,438
teilen,345
augen,408
dezember,293
haushaltsausschuss,530
funktioniert,261
mindestlohn,296
zitiere,328
csu,240
erkennen,450
kind,235
bekämpfung,281
bringt,397
versorgung,260
jugend,465
hinweisen,520
informationen,414
gesetzt,430
moment,307
krieg,261
signal,322
zugang,304
gesamten,427
beratungen,546
sorge,319
integration,462
rahmenbedingungen,469
september,334
versucht,356
ukraine,48
reicht,332
qualität,412
eingehen,466
beteiligung,386
lösungen,282
umsetzen,316
egal,252
ging,325
monate,372
teilweise,314
hilft,248
pflege,140
christoph,290
digitalisierung,5
froh,417
besten,307
strukturen,376
initiative,350
entwickeln,449
gerda,981
auswirkungen,361
gefragt,362
erhöht,448
wahl,246
rainer,482
prozess,510
einsetzen,333
politisch,363
kerstin,254
vereinten,421
erklärt,387
gelegenheit,389
vergessen,321
fordert,256
praxis,346
redezeit,447
gesetzliche,364
drittens,333
dankbar,316
sammelübersicht,354
susanne,1137
fehlt,270
öffentliche,350
gelten,343
übernehmen,326
angeht,427
hasselfeldt,935
position,447
länger,351
beschäftigung,762
getroffen,350
projekte,327
ausland,373
projekt,322
carsten,181
auftrag,342
bedingungen,392
wachstum,716
fehler,286
wirtschaftlichen,396
einzige,266
frieden,295
guter,276
ergebnisse,346
notwendigen,409
höre,403
groß,266
mitarbeiter,321
senioren,426
beteiligt,405
hinsichtlich,494
eingeführt,297
erhöhung,610
namen,363
interfraktionell,344
china,309
ländlichen,264
medien,368
vergleich,469
europäischer,299
stand,318
sogenannte,0
betroffen,281
gesetze,408
nato,315
berichts,207
beschäftigen,375
armut,290
schlecht,291
verlassen,280
ordnung,351
festgestellt,460
sinn,395
mitgliedstaaten,284
ausschüsse,350
florian,169
vereinbart,351
einverstanden,364
zukünftig,299
hierzu,339
gelungen,398
wichtiges,287
energiewende,5
anliegen,298
entwickelt,384
gefunden,376
bundesverfassungsgericht,296
grenzen,274
humanitäre,213
angst,282
bärbel,250
verstanden,286
sozialdemokraten,228
mandat,246
druck,296
vorstellen,321
tatsache,458
februar,212
bundesrat,458
abkommen,116
schwer,338
verdient,290
eindeutig,366
idee,234
beantwortet,330
letzter,254
international,301
ministerium,280
kampf,300
zentrale,290
schreiben,251
gesamte,263
bekommt,287
verschiedenen,329
strategie,336
heimat,69
leistung,293
griechenland,7
unterschied,250
bekämpfen,194
zeitpunkt,336
sichern,305
platz,204
oppermann,57
voraussetzungen,319
reihe,415
